refresh_wall_time,order_id,symbol,side,submitted_sim_time,status,price,size,executed_size,timestamp
2026-04-01 09:50:28,9ab1633c-9b42-4a4c-b629-f0b9cb7c924b,NVDA,BUY,2026-01-16 09:30:37,Status.REJECTED,0.0,1,0,2026-04-01 09:20:29.485135
2026-04-01 09:50:28,4e6d1c69-6882-4755-a99f-86f11ebdcd4b,NVDA,SELL,2026-01-16 09:30:38,Status.FILLED,189.22,1,1,2026-04-01 09:20:31.487042
2026-04-01 09:50:28,eef0094d-b799-4906-9c03-e72da35b88d5,NVDA,BUY,2026-01-16 09:30:39,Status.FILLED,189.26,1,1,2026-04-01 09:20:32.488522
2026-04-01 09:50:28,baf8f4f7-11ae-4b67-b519-1e40cf6586eb,NVDA,SELL,2026-01-16 09:30:39,Status.FILLED,189.24,1,1,2026-04-01 09:20:33.492514
2026-04-01 09:50:28,f77be795-ac14-4e15-94a0-4f5bff861340,NVDA,BUY,2026-01-16 09:30:43,Status.FILLED,189.27,1,1,2026-04-01 09:20:35.494174
2026-04-01 09:50:28,13180e46-20c1-47b8-8fe1-9944fb38495a,NVDA,SELL,2026-01-16 09:30:45,Status.FILLED,189.25,1,1,2026-04-01 09:20:37.495297
2026-04-01 09:50:28,d41db41b-81af-4db9-a8b9-c1edb26d9fc4,NVDA,BUY,2026-01-16 09:30:46,Status.FILLED,189.39,1,1,2026-04-01 09:20:38.499217
2026-04-01 09:50:28,cd6b7016-2218-479d-9669-f2ca2b980b8e,NVDA,SELL,2026-01-16 09:30:48,Status.FILLED,189.35,1,1,2026-04-01 09:20:40.501647
2026-04-01 09:50:28,6d12c4ec-9b2d-41ab-8ab2-7b46f0ac0303,NVDA,BUY,2026-01-16 09:30:49,Status.FILLED,189.44,1,1,2026-04-01 09:20:41.503906
2026-04-01 09:50:28,0fe0b42d-cee7-427e-89a4-1adc744c1dee,NVDA,SELL,2026-01-16 09:30:50,Status.FILLED,189.39,1,1,2026-04-01 09:20:42.506532
2026-04-01 09:50:28,c3e19975-20e8-4259-8cee-b9f30d6a3f13,NVDA,BUY,2026-01-16 09:30:52,Status.FILLED,189.45,1,1,2026-04-01 09:20:44.510154
2026-04-01 09:50:28,acd2bdf4-1f07-4dd5-89ad-d47287eb1970,NVDA,SELL,2026-01-16 09:30:53,Status.FILLED,189.45,1,1,2026-04-01 09:20:45.511680
2026-04-01 09:50:28,2a69b1fc-79c2-4425-8617-2a0fbf63c68e,NVDA,BUY,2026-01-16 09:30:54,Status.FILLED,189.41,1,1,2026-04-01 09:20:46.517260
2026-04-01 09:50:28,5ca63f13-8918-4510-a01f-1823fa0e2b44,NVDA,SELL,2026-01-16 09:30:55,Status.FILLED,189.37,1,1,2026-04-01 09:20:47.520843
2026-04-01 09:50:28,63a174e4-ebca-433e-8114-ae362c4793af,NVDA,BUY,2026-01-16 09:30:57,Status.FILLED,189.43,1,1,2026-04-01 09:20:49.529943
2026-04-01 09:50:28,99592b5f-4ed6-4afa-90bf-8b7303dd54f5,NVDA,SELL,2026-01-16 09:30:58,Status.FILLED,189.38,1,1,2026-04-01 09:20:50.533865
2026-04-01 09:50:28,707e7b8a-97b9-41be-ae6e-3b473b7d152d,NVDA,BUY,2026-01-16 09:31:00,Status.FILLED,189.42,1,1,2026-04-01 09:20:52.540187
2026-04-01 09:50:28,9d23fa40-19e3-416c-a39b-5fdd1154ddfc,NVDA,SELL,2026-01-16 09:31:01,Status.FILLED,189.48,1,1,2026-04-01 09:20:53.541701
2026-04-01 09:50:28,8af62180-cfec-4618-95bc-d138bba667a6,NVDA,BUY,2026-01-16 09:31:02,Status.FILLED,189.62,1,1,2026-04-01 09:20:54.544677
