sim_time,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2020-11-02 09:40:15,6b0e7fbd-a52e-4017-9f81-312f98c5329e,NVDA,BUY,506.8100,1,200,Status.FILLED,2026-03-27 02:19:27.688937
2020-11-02 09:40:15,6b0e7fbd-a52e-4017-9f81-312f98c5329e,NVDA,BUY,506.6500,1,200,Status.PARTIALLY_FILLED,2026-03-27 02:19:27.688937
2020-11-02 09:40:27,fa4308a3-62a4-46d7-a67f-9ebd17f4e78a,NVDA,BUY,507.4000,1,200,Status.FILLED,2026-03-27 02:19:39.781542
2020-11-02 09:40:27,fa4308a3-62a4-46d7-a67f-9ebd17f4e78a,NVDA,BUY,507.3200,1,200,Status.PARTIALLY_FILLED,2026-03-27 02:19:39.781542
2020-11-02 09:40:28,3d46367c-ad30-4d4b-9909-724aaadf5614,NVDA,BUY,507.4000,1,200,Status.FILLED,2026-03-27 02:19:40.790684
2020-11-02 09:40:28,3d46367c-ad30-4d4b-9909-724aaadf5614,NVDA,BUY,507.3200,1,200,Status.PARTIALLY_FILLED,2026-03-27 02:19:40.790684
2020-11-02 09:40:40,7e22f2cc-1d1b-409f-a149-74542bd16ae8,NVDA,SELL,507.1400,1,600,Status.FILLED,2026-03-27 02:19:52.868065
2020-11-02 09:40:40,7e22f2cc-1d1b-409f-a149-74542bd16ae8,NVDA,SELL,507.1400,1,600,Status.PARTIALLY_FILLED,2026-03-27 02:19:52.868065
2020-11-02 09:40:53,f93d7e19-2cbd-45a0-a384-eed8396cc49e,NVDA,SELL,506.3900,1,200,Status.FILLED,2026-03-27 02:20:06.951816
2020-11-02 09:40:53,f93d7e19-2cbd-45a0-a384-eed8396cc49e,NVDA,SELL,506.5100,1,200,Status.PARTIALLY_FILLED,2026-03-27 02:20:06.951816
2020-11-02 09:40:56,88fa4a59-5a26-4255-b2f6-241c0b5c465b,NVDA,SELL,506.5000,1,100,Status.FILLED,2026-03-27 02:20:07.963029
2020-11-02 09:40:57,af067c0a-d210-4960-a56c-1cb07d0ba879,NVDA,SELL,506.5900,1,100,Status.FILLED,2026-03-27 02:20:10.002713
2020-11-02 09:40:58,8cee0a6f-431b-4f1a-b0f6-cfd766c03915,NVDA,SELL,506.6000,1,100,Status.FILLED,2026-03-27 02:20:11.013851
2020-11-02 09:40:59,cc83ee66-3ba4-4d1f-9905-9d15dd40fc4e,NVDA,SELL,506.6000,1,100,Status.FILLED,2026-03-27 02:20:12.028955
2020-11-02 09:41:00,f669d006-dc49-4bb2-a62e-acedaba40a58,NVDA,SELL,506.4200,1,100,Status.FILLED,2026-03-27 02:20:13.040858
2020-11-02 09:41:01,c3ba0a13-c9e4-4d83-ad44-6d21c2988212,NVDA,SELL,506.5500,1,100,Status.FILLED,2026-03-27 02:20:14.045500
2020-11-02 09:41:02,6e3cac72-674d-4004-bf9b-5eb4c305ff59,NVDA,SELL,506.5500,1,100,Status.FILLED,2026-03-27 02:20:15.064758
2020-11-02 09:41:03,b7974a34-cdc6-4167-b957-9de42d898248,NVDA,SELL,506.6500,1,100,Status.FILLED,2026-03-27 02:20:16.074295
