logged_at,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2018-12-17 09:36:08,8fd3e290-97a5-4e68-a4e4-6b5d9342f5b6,GS,BUY,168.9600,2,200,Status.FILLED,2026-03-25 01:30:02.677620
2018-12-17 09:36:08,8bd242ad-6bb4-419d-bdda-6174291a57bc,GS,SELL,169.1900,1,200,Status.FILLED,2026-03-25 01:30:13.714387
2018-12-17 09:36:08,8bd242ad-6bb4-419d-bdda-6174291a57bc,GS,SELL,169.1900,1,200,Status.PARTIALLY_FILLED,2026-03-25 01:30:13.714387
2018-12-17 09:36:08,515b8a9b-598a-4c2b-83de-ea92ebaa7109,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-25 01:31:21.879897
2018-12-17 09:36:08,037c93d7-6ecb-4dfd-b792-b0ff6f3fa9a3,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-25 01:31:25.094361
2018-12-17 09:36:08,7d67295e-84a4-4be5-8269-18041157e283,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-25 01:31:28.101958
2018-12-17 09:36:08,bbdcd144-7459-45ac-a7cc-d3630f05d37d,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-25 01:31:31.125720
2018-12-17 09:36:08,ea4ab2f4-101f-4f95-8d28-2f3a93b262c9,GS,SELL,168.9200,1,200,Status.FILLED,2026-03-25 01:31:34.135153
2018-12-17 09:36:08,ea4ab2f4-101f-4f95-8d28-2f3a93b262c9,GS,SELL,168.9200,1,200,Status.PARTIALLY_FILLED,2026-03-25 01:31:34.135153
2018-12-17 09:36:08,ffed44f4-b401-4f18-89c3-0bb8d4ad5c8c,GS,BUY,168.9500,1,200,Status.FILLED,2026-03-25 01:31:45.957180
2018-12-17 09:36:08,ffed44f4-b401-4f18-89c3-0bb8d4ad5c8c,GS,BUY,168.9500,1,200,Status.PARTIALLY_FILLED,2026-03-25 01:31:45.957180
2018-12-17 09:36:08,4fd35f01-596c-4b13-912b-711a0e05aece,GS,BUY,169.0500,1,200,Status.FILLED,2026-03-25 01:32:17.086096
2018-12-17 09:36:08,4fd35f01-596c-4b13-912b-711a0e05aece,GS,BUY,169.0500,1,200,Status.PARTIALLY_FILLED,2026-03-25 01:32:17.086096
2018-12-17 09:36:08,cd355186-ebe6-4c28-b188-f7303701f647,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-25 01:32:28.110371
2018-12-17 09:36:08,a9fac6ff-acb9-43d4-aa95-f12f809c64b6,GS,SELL,0.0000,1,200,Status.FILLED,2026-03-25 01:32:31.319736
2018-12-17 09:36:08,a9fac6ff-acb9-43d4-aa95-f12f809c64b6,GS,SELL,168.5500,1,200,Status.PARTIALLY_FILLED,2026-03-25 01:32:31.319736
2018-12-17 09:36:08,47c47d8c-2541-4fdd-b3f4-95cbbe00a595,GS,SELL,168.3700,1,100,Status.FILLED,2026-03-25 01:32:34.320984
