logged_at,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2020-11-02 09:30:18,81629cdc-c69b-49a8-9faa-161c9f7bd816,GS,BUY,191.4000,1,100,Status.FILLED,2026-03-24 23:20:09.243741
2020-11-02 09:30:18,90d218ab-946f-4576-885e-c0bc84fb16ae,GS,SELL,0.0000,1,100,Status.CANCELED,2026-03-24 23:20:09.251164
2020-11-02 09:30:40,ac85e479-de03-4428-a854-d3bdc9902ecb,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:13.728373
2020-11-02 09:30:40,28a69651-dd30-4d91-accf-745b37b65640,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:19.744367
2020-11-02 09:30:40,24642370-de96-4a7b-b1ff-7934e03158ae,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:25.753877
2020-11-02 09:30:40,9f162510-b50a-4f5c-86f8-ee1fd73d7e0b,GS,BUY,0.0000,1,100,Status.CANCELED,2026-03-24 23:20:28.258565
2020-11-02 09:30:40,fc8bd791-6d2b-49a9-b8f1-47d0c077b8f4,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:28.764899
2020-11-02 09:30:40,9c8c818c-a068-4a62-8196-ef120b740521,GS,BUY,191.3800,1,100,Status.FILLED,2026-03-24 23:20:33.774633
2020-11-02 09:30:40,f5959143-9cb3-40f0-bc06-8d142ecbba05,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:34.773738
2020-11-02 09:30:42,18413091-7a6f-4080-9471-cec3cc42bf05,GS,BUY,191.3800,1,100,Status.FILLED,2026-03-24 23:20:37.280378
2020-11-02 09:30:43,d5dfe325-a3b8-487a-ba15-abc59ef7257e,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:35.783984
2020-11-02 09:30:46,ba2e0774-debd-4dd8-8ab6-34feff2fb942,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:38.794456
2020-11-02 09:30:46,d88784a3-a1fa-40d7-af4b-232ab08e26dd,GS,BUY,191.2500,1,100,Status.FILLED,2026-03-24 23:20:40.292644
2020-11-02 09:31:12,4b6f1163-e93a-439a-a78d-a3ca0b5d0ae8,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:41.803356
2020-11-02 09:31:12,5594b06f-f573-433f-9e63-9f095f0cc554,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:47.821206
2020-11-02 09:31:12,0d6a9a86-1412-45c8-be19-87ab431c074c,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:53.841104
2020-11-02 09:31:12,34eb5b00-cbba-4182-b297-0836412bc5b2,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:20:59.861204
2020-11-02 09:31:18,f6019228-d910-47ee-85f8-b673fd868322,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:21:05.876525
2020-11-02 09:31:18,1e104d53-6d10-414e-9921-a01324b4177a,GS,SELL,191.2000,1,200,Status.PARTIALLY_FILLED,2026-03-24 23:21:11.902000
