wall_time,sim_time,cs1_pos_lots,cs1_unrealized_pl,cs2_pos_lots,cs2_unrealized_pl,total_realized_pl,total_unrealized_pl,total_pl
01:38:32,2018-08-16 09:30:35,0,0.0,0,0.0,0.0,0.0,0.0
01:38:33,2018-08-16 09:30:37,0,0.0,0,0.0,0.0,0.0,0.0
01:38:34,2018-08-16 09:30:38,0,0.0,0,0.0,0.0,0.0,0.0
01:38:35,2018-08-16 09:30:39,0,0.0,0,0.0,0.0,0.0,0.0
01:38:36,2018-08-16 09:30:39,0,0.0,0,0.0,0.0,0.0,0.0
01:38:37,2018-08-16 09:30:39,0,0.0,0,0.0,0.0,0.0,0.0
01:38:38,2018-08-16 09:30:39,0,0.0,0,0.0,0.0,0.0,0.0
01:38:39,2018-08-16 09:30:40,0,0.0,0,0.0,0.0,0.0,0.0
01:38:40,2018-08-16 09:30:41,0,0.0,0,0.0,0.0,0.0,0.0
01:38:41,2018-08-16 09:30:43,0,0.0,0,0.0,0.0,0.0,0.0
01:38:42,2018-08-16 09:30:43,0,0.0,0,0.0,0.0,0.0,0.0
01:38:43,2018-08-16 09:30:44,0,0.0,0,0.0,0.0,0.0,0.0
01:38:44,2018-08-16 09:30:45,0,0.0,0,0.0,0.0,0.0,0.0
01:38:45,2018-08-16 09:30:46,0,0.0,0,0.0,0.0,0.0,0.0
01:38:47,2018-08-16 09:30:48,0,0.0,0,0.0,0.0,0.0,0.0
01:38:48,2018-08-16 09:30:49,0,0.0,0,0.0,0.0,0.0,0.0
01:38:49,2018-08-16 09:30:51,0,0.0,0,0.0,0.0,0.0,0.0
01:38:50,2018-08-16 09:30:51,0,0.0,0,0.0,0.0,0.0,0.0
01:38:51,2018-08-16 09:30:52,0,0.0,0,0.0,0.0,0.0,0.0
01:38:52,2018-08-16 09:30:53,0,0.0,0,0.0,0.0,0.0,0.0
01:38:53,2018-08-16 09:30:54,0,0.0,0,0.0,0.0,0.0,0.0
01:38:54,2018-08-16 09:30:55,0,0.0,-20,-4770.4348,-6708.0,-4770.4348,-11478.4348
01:38:55,2018-08-16 09:30:56,0,0.0,-20,-4781.4348,-6708.0,-4781.4348,-11489.4348
01:38:56,2018-08-16 09:30:56,0,0.0,-20,-4830.4348,-6708.0,-4830.4348,-11538.4348
01:38:57,2018-08-16 09:30:57,0,0.0,-20,-4830.4348,-6708.0,-4830.4348,-11538.4348
01:38:58,2018-08-16 09:30:59,0,0.0,-20,-4830.4348,-6708.0,-4830.4348,-11538.4348
01:38:59,2018-08-16 09:31:01,0,0.0,-20,-4872.4348,-6708.0,-4872.4348,-11580.4348
01:39:00,2018-08-16 09:31:03,26,-117.0,-20,-3930.4348,-6947.5217,-4047.4348,-10994.9565
01:39:01,2018-08-16 09:31:04,26,-117.0,-20,-3930.4348,-6947.5217,-4047.4348,-10994.9565
01:39:02,2018-08-16 09:31:05,26,-57.0,-20,-3990.4348,-6947.5217,-4047.4348,-10994.9565
01:39:03,2018-08-16 09:31:05,26,-57.0,-20,-4758.4348,-6947.5217,-4815.4348,-11762.9565
01:39:04,2018-08-16 09:31:07,0,0.0,-20,-3910.4348,-7004.5217,-3910.4348,-10914.9565
01:39:05,2018-08-16 09:31:10,0,0.0,-20,-3950.4348,-7004.5217,-3950.4348,-10954.9565
01:39:06,2018-08-16 09:31:10,0,0.0,-20,-4610.4348,-7004.5217,-4610.4348,-11614.9565
01:39:07,2018-08-16 09:31:11,0,0.0,-20,-4610.4348,-7004.5217,-4610.4348,-11614.9565
01:39:08,2018-08-16 09:31:12,0,0.0,-20,-4632.4348,-7004.5217,-4632.4348,-11636.9565
01:39:09,2018-08-16 09:31:13,0,0.0,-20,-4632.4348,-7004.5217,-4632.4348,-11636.9565
01:39:10,2018-08-16 09:31:13,0,0.0,-20,-3517.4348,-7004.5217,-3517.4348,-10521.9565
