sim_time,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2024-08-05 09:30:37,b5ba0c58-6e4a-415a-b1e4-13306aa777b3,AAPL,BUY,199.5100,1,100,Status.FILLED,2026-03-26 11:04:22.344723
2024-08-05 09:30:59,ea1ebd77-625a-4823-9cad-1c6d4f68f574,AAPL,SELL,199.4300,1,100,Status.FILLED,2026-03-26 11:04:39.411936
2024-08-05 09:30:59,42b0f8c5-4164-4e25-b523-1a889829511d,AAPL,SELL,199.5600,1,100,Status.FILLED,2026-03-26 11:04:42.425985
2024-08-05 09:31:03,aeb0697b-21d6-40dc-b62d-40105fc9324f,AAPL,SELL,0.0000,1,100,Status.CANCELED,2026-03-26 11:04:46.435266
2024-08-05 09:31:09,bbe06295-4475-4d4c-b0a7-3e779dd8e9f3,AAPL,SELL,0.0000,1,100,Status.CANCELED,2026-03-26 11:04:51.455727
2024-08-05 09:31:16,f4517bff-ac9f-4ec8-be18-8bcb5a2d1306,AAPL,SELL,0.0000,1,100,Status.CANCELED,2026-03-26 11:04:57.483089
2024-08-05 09:31:21,c511faa3-b6df-434c-bce6-64af4d2efee1,AAPL,SELL,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:04.527377
2024-08-05 09:31:41,2a61e9ef-d78a-4a6a-b92f-7522e50f940d,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:17.607756
2024-08-05 09:31:41,23561f53-a8b3-4762-a854-d6230b61662d,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:23.630807
2024-08-05 09:31:51,08140552-4272-478d-9966-8e07fa3f14c9,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:29.646703
2024-08-05 09:32:02,fc6fae6e-ac65-4ddc-abd1-51df04ce9b2a,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:35.659276
2024-08-05 09:32:02,7e506b60-171d-4fd4-b31f-84c3c02cca03,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:41.674815
2024-08-05 09:32:03,2d321729-6b86-47dc-bcce-165db3c92532,AAPL,BUY,200.5600,1,100,Status.FILLED,2026-03-26 11:05:48.698094
2024-08-05 09:32:11,f683ce38-abc8-4afa-8e3c-606e8847792d,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:54.714640
2024-08-05 09:32:19,99c6c2fd-1c1d-4d84-813f-8f1219dc89d6,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:06:00.734796
2024-08-05 09:33:34,84b51e7f-0636-4735-afab-0fcdd32895cb,AAPL,BUY,205.1800,1,100,Status.FILLED,2026-03-26 11:07:19.177073
2024-08-05 09:33:35,82e762ce-ba6d-46aa-810f-5a25f54844a4,AAPL,BUY,205.1200,1,100,Status.FILLED,2026-03-26 11:07:20.192205
2024-08-05 09:33:36,6b1a2eba-ffec-4243-aba7-731b21295264,AAPL,SELL,205.2400,1,200,Status.FILLED,2026-03-26 11:07:21.199704
2024-08-05 09:33:36,6b1a2eba-ffec-4243-aba7-731b21295264,AAPL,SELL,205.2400,1,200,Status.PARTIALLY_FILLED,2026-03-26 11:07:21.199704
2024-08-05 09:37:08,66116a1c-7606-4702-92f8-b17bd27ba998,AAPL,BUY,206.5500,1,100,Status.FILLED,2026-03-26 11:10:53.228322
2024-08-05 09:37:09,eca00949-8f06-4918-b608-6778d6eee00f,AAPL,SELL,206.8600,1,100,Status.FILLED,2026-03-26 11:10:54.236428
2024-08-05 09:43:09,10435bd3-fc5b-441a-a018-fc8c0f73caf0,AAPL,BUY,209.4000,1,100,Status.FILLED,2026-03-26 11:16:54.005197
2024-08-05 09:43:09,c0869544-8e5d-41b7-ab91-6a497d1db673,AAPL,BUY,209.4600,1,100,Status.FILLED,2026-03-26 11:16:55.013718
2024-08-05 09:43:13,2757df66-8a94-420a-8ee3-01fa19081089,AAPL,BUY,209.1200,1,100,Status.FILLED,2026-03-26 11:16:57.432586
2024-08-05 09:43:17,c4e56a65-b989-4358-8f52-887a89cf8472,AAPL,SELL,0.0000,3,300,Status.CANCELED,2026-03-26 11:16:58.439127
2024-08-05 09:43:17,0babfc25-d774-4e33-94c6-182561e81df1,AAPL,SELL,208.9700,1,300,Status.FILLED,2026-03-26 11:17:01.456819
2024-08-05 09:43:17,0babfc25-d774-4e33-94c6-182561e81df1,AAPL,SELL,208.9700,1,300,Status.PARTIALLY_FILLED,2026-03-26 11:17:01.456819
2024-08-05 09:43:17,0babfc25-d774-4e33-94c6-182561e81df1,AAPL,SELL,208.9900,1,300,Status.PARTIALLY_FILLED,2026-03-26 11:17:01.456819
2024-08-05 09:43:33,452d9651-1a7d-443a-9a2a-525aaef99b3f,AAPL,BUY,209.5000,1,100,Status.FILLED,2026-03-26 11:17:17.543623
2024-08-05 09:43:34,248ae0de-434a-4ee8-ad33-f128165d8f78,AAPL,BUY,209.2900,1,100,Status.FILLED,2026-03-26 11:17:18.553738
2024-08-05 09:43:35,0c1fc509-b300-4c4a-ac20-37d7a3eb19f4,AAPL,SELL,209.2500,1,200,Status.PARTIALLY_FILLED,2026-03-26 11:17:19.560896
2024-08-05 09:43:40,27ef1c66-ed9b-483f-8b49-d85e72637021,AAPL,SELL,0.0000,1,100,Status.CANCELED,2026-03-26 11:17:21.576055
2024-08-05 09:43:40,3cc0946e-f43b-4b57-a907-8ac04c0175ad,AAPL,SELL,209.1500,1,100,Status.FILLED,2026-03-26 11:17:24.587593
2020-11-02 09:48:00,a08fae58-987a-4665-8bab-f723acf9c005,AAPL,BUY,109.7900,1,100,Status.FILLED,2026-03-26 19:03:14.500743
2020-11-02 09:48:03,44d631e0-90b7-464c-85ef-fcc88a26faec,AAPL,BUY,109.7900,1,200,Status.FILLED,2026-03-26 19:03:16.528446
2020-11-02 09:48:03,44d631e0-90b7-464c-85ef-fcc88a26faec,AAPL,BUY,109.7800,1,200,Status.PARTIALLY_FILLED,2026-03-26 19:03:16.528446
2020-11-02 09:48:05,29f4babb-f15f-4bbf-8080-f9f189b5cee0,AAPL,BUY,109.7800,1,100,Status.FILLED,2026-03-26 19:03:18.545168
2020-11-02 09:48:06,6acbd790-0bc5-4c48-b85e-fb7da92e8369,AAPL,SELL,109.7700,1,400,Status.PARTIALLY_FILLED,2026-03-26 19:03:19.549579
2020-11-02 09:48:08,f9f299b1-64ae-4515-b7c3-efa0e5a1323f,AAPL,SELL,109.7300,1,200,Status.FILLED,2026-03-26 19:03:21.554148
2020-11-02 09:48:08,f9f299b1-64ae-4515-b7c3-efa0e5a1323f,AAPL,SELL,109.7300,1,200,Status.PARTIALLY_FILLED,2026-03-26 19:03:21.554148
2020-11-02 09:48:14,52e0bb9b-942b-4bb6-9167-3d3727529ac9,AAPL,BUY,109.8300,1,100,Status.FILLED,2026-03-26 19:03:27.581684
2020-11-02 09:48:15,81ae2aef-7ecc-4884-8f1b-9e4878173923,AAPL,BUY,109.8400,1,200,Status.FILLED,2026-03-26 19:03:28.606949
