timestamp,price,size
2018-08-16 09:30:21,99.8000,46
2018-08-16 09:30:25,99.8000,46
2018-08-16 09:30:28,99.8000,46
2018-08-16 09:30:29,99.7400,65
2018-08-16 09:30:30,99.7500,13
2018-08-16 09:30:32,99.7500,49
2018-08-16 09:30:33,99.7300,68
2018-08-16 09:30:34,99.7300,3
2018-08-16 09:30:35,99.7400,28
2018-08-16 09:30:36,99.7200,9
2018-08-16 09:30:37,99.6700,81
2018-08-16 09:30:38,99.6100,92
2018-08-16 09:30:43,99.6100,92
2018-08-16 09:30:46,99.4600,49
2018-08-16 09:30:48,99.4900,5
2018-08-16 09:30:49,99.4900,5
2018-08-16 09:30:50,99.4000,19
2018-08-16 09:30:52,99.4000,19
2018-08-16 09:30:55,99.4000,19
2018-08-16 09:30:57,99.3400,60
2018-08-16 09:30:58,99.4000,32
2018-08-16 09:30:59,99.4000,7
2018-08-16 09:31:00,99.4400,19
2018-08-16 09:31:04,99.4400,19
2018-08-16 09:31:05,99.4400,50
2018-08-16 09:31:07,99.5200,54
2018-08-16 09:31:08,99.6400,40
2018-08-16 09:31:09,99.6600,23
2018-08-16 09:31:12,99.6600,23
2018-08-16 09:31:14,99.5900,24
2018-08-16 09:31:17,99.5900,24
2018-08-16 09:31:18,99.5900,24
2018-08-16 09:31:19,99.6100,30
2018-08-16 09:31:25,99.6100,30
2018-08-16 09:31:26,99.5800,80
2018-08-16 09:31:27,99.5800,80
2018-08-16 09:31:30,99.5600,78
2018-08-16 09:31:31,99.5600,26
2018-08-16 09:31:32,99.5600,39
2018-08-16 09:31:33,99.5700,44
2018-08-16 09:31:34,99.5700,44
2018-08-16 09:31:36,99.5700,44
2018-08-16 09:31:40,99.5700,44
2018-08-16 09:31:41,99.6700,117
2018-08-16 09:31:42,99.6700,117
2018-08-16 09:31:45,99.6700,7
2018-08-16 09:31:46,99.6700,7
2018-08-16 09:31:47,99.6700,7
2018-08-16 09:31:48,99.5600,17
2018-08-16 09:31:52,99.5600,17
2018-08-16 09:31:56,99.5600,17
2018-08-16 09:31:57,99.6800,15
2018-08-16 09:31:58,99.6700,48
2018-08-16 09:32:01,99.6700,5
2018-08-16 09:32:02,99.6200,64
